Banner,UPC,Hawaii,Kansas,New York,Northern California,Texas,All
Trader Joes,375916960.0,,28.79,,33.69,29.09,30.52
Trader Joes,375993782.0,,,,,12.99,12.99
Trader Joes,376153383.0,,23.69,,27.79,23.89,25.12
Trader Joes,376311065.0,,,,,3.39,3.39
Trader Joes,376851918.0,,,35.99,,34.99,35.49
Trader Joes,377295085.0,,2.39,2.49,,2.39,2.42
Trader Joes,377365657.0,,,57.89,,,57.89
Trader Joes,381867389.0,,,,,,
Trader Joes,383193164.0,,,38.19,42.99,36.99,39.39
Trader Joes,383194572.0,,,4.99,5.59,4.89,5.16
Trader Joes,383815591.0,,54.59,56.79,64.09,55.19,57.66
Trader Joes,386428225.0,,15.89,,,16.09,15.99
Trader Joes,387431034.0,,35.79,37.29,41.99,36.19,37.82
Trader Joes,387815880.0,,,,,12.39,12.39
Trader Joes,388197861.0,,,,28.39,24.49,26.44
Trader Joes,388544851.0,,,,54.99,47.29,51.14
Trader Joes,391122766.0,,,,,,
Trader Joes,392781848.0,,,36.19,40.79,35.19,37.39
Trader Joes,393028851.0,,,,53.19,45.79,49.49
Trader Joes,394331468.0,,45.39,,53.19,45.79,48.12
Trader Joes,395515572.0,,19.89,20.69,,20.09,20.22
Trader Joes,395790602.0,,44.69,,52.39,45.19,47.42
Trader Joes,396134202.0,,,36.49,,35.39,35.94
Trader Joes,397250295.0,,26.09,,,26.29,26.19
Trader Joes,399409590.0,,22.59,,26.49,22.79,23.96
Trader Joes,400625108.0,,,,30.09,,30.09
Trader Joes,401436440.0,,,26.39,,25.59,25.99
Trader Joes,403149940.0,,32.89,,,,32.89
Trader Joes,405684153.0,,49.09,51.09,,49.59,49.92
Trader Joes,405988807.0,,,,,37.89,37.89
Trader Joes,406039511.0,,47.69,,,48.19,47.94
Trader Joes,414105716.0,,38.49,,,38.89,38.69
Trader Joes,416414679.0,,27.39,28.49,32.09,27.69,28.92
Trader Joes,416642778.0,,37.49,,,37.79,37.64
Trader Joes,416724552.0,,,,,6.29,6.29
Trader Joes,418444428.0,,,,17.99,15.49,16.74
Trader Joes,420577775.0,,,,,18.39,18.39
Trader Joes,421047592.0,,,,3.39,2.89,3.14
Trader Joes,421176959.0,,,,66.49,57.29,61.89
Trader Joes,421428384.0,,,57.89,65.19,56.19,59.76
Trader Joes,421938798.0,,15.49,,,15.59,15.54
Trader Joes,426268457.0,,,12.99,14.59,12.59,13.39
Trader Joes,426540728.0,,,,57.49,49.49,53.49
Trader Joes,426909634.0,,12.19,12.69,,12.39,12.42
Trader Joes,428456157.0,,23.89,,,24.19,24.04
Trader Joes,429624919.0,,,50.69,,49.19,49.94
Trader Joes,430094535.0,,28.19,,32.99,28.49,29.89
Trader Joes,431156925.0,,,37.49,,36.39,36.94
Trader Joes,432934258.0,,51.59,,60.59,52.19,54.79
Trader Joes,433536637.0,,,,,37.59,37.59
Trader Joes,434688119.0,,,,,14.19,14.19
Trader Joes,435304991.0,,,20.69,23.29,20.09,21.36
Trader Joes,436463728.0,,,47.59,,46.19,46.89
Trader Joes,436491453.0,,,,63.19,54.49,58.84
Trader Joes,437067209.0,,55.59,,,56.09,55.84
Trader Joes,437172755.0,,,13.39,15.09,,14.24
Trader Joes,437637358.0,,23.29,24.29,27.39,23.59,24.64
Trader Joes,438682627.0,,49.09,51.09,,49.59,49.92
Trader Joes,440219593.0,,,,14.79,,14.79
Trader Joes,440309024.0,,29.99,,35.19,30.29,31.82
Trader Joes,441168504.0,,,,20.79,17.89,19.34
Trader Joes,441404447.0,,,,,50.19,50.19
Trader Joes,441453292.0,,,36.69,41.29,35.59,37.86
Trader Joes,441772088.0,,23.59,24.49,,23.79,23.96
Trader Joes,441947799.0,,,50.99,,49.49,50.24
Trader Joes,442236507.0,,,,51.49,,51.49
Trader Joes,443127155.0,,,,,37.79,37.79
Trader Joes,445250129.0,,,55.89,,54.29,55.09
Trader Joes,445351739.0,,,,,32.89,32.89
Trader Joes,446836510.0,,15.59,,,15.79,15.69
Trader Joes,447640332.0,,11.69,12.19,13.69,11.79,12.34
Trader Joes,447858500.0,,,,,,
Trader Joes,448330081.0,,45.39,,,45.89,45.64
Trader Joes,449986246.0,,,,5.59,4.79,5.19
Trader Joes,450309449.0,,,,,25.69,25.69
Trader Joes,451026029.0,,,,41.59,35.79,38.69
Trader Joes,451469731.0,,,,56.59,48.79,52.69
Trader Joes,454788216.0,,,,,31.79,31.79
Trader Joes,456113225.0,,,58.09,,56.39,57.24
Trader Joes,456975266.0,,,,15.19,13.09,14.14
Trader Joes,457695472.0,,,,,,
Trader Joes,458313112.0,,,13.99,,13.59,13.79
Trader Joes,458350008.0,,,,,6.49,6.49
Trader Joes,459605874.0,,,,,16.49,16.49
Trader Joes,460807284.0,,,35.19,39.59,34.09,36.29
Trader Joes,461128883.0,,53.59,55.69,62.79,,57.36
Trader Joes,466810890.0,,48.79,,57.19,49.29,51.76
Trader Joes,468699741.0,,30.79,,,31.09,30.94
Trader Joes,470178735.0,,52.59,54.79,61.69,,56.36
Trader Joes,470692001.0,,14.09,14.59,16.49,14.19,14.84
Trader Joes,471370637.0,,16.19,,,16.29,16.24
Trader Joes,472559312.0,,,,31.79,27.39,29.59
Trader Joes,473279874.0,,23.09,23.99,27.09,23.29,24.36
Trader Joes,474794200.0,,35.29,,,35.69,35.49
Trader Joes,475245085.0,,,46.49,,45.09,45.79
Trader Joes,475672709.0,,,39.79,44.79,38.59,41.06
Trader Joes,476935693.0,,30.59,,,30.89,30.74
Trader Joes,477240979.0,,9.79,10.19,11.49,9.89,10.34
Trader Joes,477539026.0,,,,53.79,46.39,50.09
Trader Joes,477638150.0,,,,,,
Trader Joes,479749486.0,,38.29,,44.89,38.69,40.62
Trader Joes,480476230.0,,,20.79,23.49,20.19,21.49
Trader Joes,481195187.0,,32.79,,38.49,33.19,34.82
Trader Joes,481217425.0,,,26.79,,26.09,26.44
Trader Joes,484526970.0,,3.99,4.19,4.69,4.09,4.24
Trader Joes,484719492.0,,,,,51.39,51.39
Trader Joes,486230490.0,,49.39,,,49.89,49.64
Trader Joes,486482090.0,,29.59,,,29.89,29.74
Trader Joes,488091787.0,,,,29.69,25.59,27.64
Trader Joes,488377803.0,,,,4.89,4.19,4.54
Trader Joes,489000444.0,,7.79,,9.09,7.79,8.22
Trader Joes,489398729.0,,,,,35.49,35.49
Trader Joes,492209870.0,,55.99,58.19,65.59,,59.92
Trader Joes,494020899.0,,,,53.19,45.79,49.49
Trader Joes,495847520.0,,,,63.99,,63.99
Trader Joes,496444498.0,,,,,16.49,16.49
Trader Joes,499640947.0,,,,0.99,0.89,0.94
Trader Joes,500505797.0,,28.49,,33.39,28.79,30.22
Trader Joes,502816606.0,,28.89,,,29.19,29.04
Trader Joes,503341824.0,,26.49,27.59,31.09,26.79,27.99
Trader Joes,503736553.0,,,12.19,,11.89,12.04
Trader Joes,503966459.0,,,37.19,,36.09,36.64
Trader Joes,504139198.0,,,,,52.59,52.59
Trader Joes,505307561.0,,48.39,50.39,,48.89,49.22
Trader Joes,505693127.0,,,25.89,,25.09,25.49
Trader Joes,506238955.0,,53.79,,,54.39,54.09
Trader Joes,506732002.0,,,53.99,,52.39,53.19
Trader Joes,506754007.0,,46.79,,,47.19,46.99
Trader Joes,507203618.0,,,25.49,,24.79,25.14
Trader Joes,508453812.0,,38.69,40.29,45.39,,41.46
Trader Joes,508604923.0,,39.49,,,39.89,39.69
Trader Joes,509056495.0,,,23.39,,,23.39
Trader Joes,509116779.0,,,1.39,1.49,1.29,1.39
Trader Joes,509419735.0,,,,42.59,36.69,39.64
Trader Joes,513172706.0,,,,,4.99,4.99
Trader Joes,514293895.0,,37.39,38.89,43.79,37.79,39.47
Trader Joes,514730047.0,,,42.29,,41.09,41.69
Trader Joes,514805290.0,,,,7.19,6.19,6.69
Trader Joes,514912132.0,,37.59,,44.19,37.99,39.92
Trader Joes,514987291.0,,,,,52.69,52.69
Trader Joes,516205909.0,,32.29,33.59,37.89,32.59,34.09
Trader Joes,517769564.0,,,,21.69,18.69,20.19
Trader Joes,518047270.0,,26.19,27.19,30.69,26.49,27.64
Trader Joes,523773926.0,,11.89,,,11.99,11.94
Trader Joes,525505777.0,,17.09,,,17.29,17.19
Trader Joes,525996730.0,,,44.69,,43.39,44.04
Trader Joes,526069074.0,,,,9.99,8.59,9.29
Trader Joes,526212256.0,,29.99,31.19,35.19,,32.12
Trader Joes,526328901.0,,,,,1.79,1.79
Trader Joes,529559570.0,,,7.79,,7.59,7.69
Trader Joes,529968586.0,,33.29,34.69,,33.69,33.89
Trader Joes,531197407.0,,,,,23.49,23.49
Trader Joes,531867954.0,,49.29,,57.89,49.79,52.32
Trader Joes,533704030.0,,52.59,54.69,61.69,,56.32
Trader Joes,534498710.0,,,,56.99,49.09,53.04
Trader Joes,534500231.0,,,50.89,57.39,49.39,52.56
Trader Joes,535286391.0,,,28.79,32.49,27.99,29.76
Trader Joes,535529908.0,,2.19,2.29,,2.19,2.22
Trader Joes,536411687.0,,,38.89,,37.79,38.34
Trader Joes,537045183.0,,,16.29,,15.79,16.04
Trader Joes,538593323.0,,,,,17.19,17.19
Trader Joes,538783344.0,,,,,46.89,46.89
Trader Joes,541222561.0,,,,3.29,2.79,3.04
Trader Joes,541553073.0,,,,,29.89,29.89
Trader Joes,541944658.0,,38.69,40.29,45.39,39.09,40.86
Trader Joes,542244776.0,,,34.19,,33.19,33.69
Trader Joes,543464804.0,,,19.09,21.49,18.59,19.72
Trader Joes,544719559.0,,,43.99,,42.69,43.34
Trader Joes,545019950.0,,54.39,,,54.89,54.64
Trader Joes,545133835.0,,,32.39,,31.39,31.89
Trader Joes,545319478.0,,,,,51.49,51.49
Trader Joes,546802474.0,,42.49,44.29,,42.99,43.26
Trader Joes,549109328.0,,,24.29,27.39,23.59,25.09
Trader Joes,549838046.0,,53.49,,62.69,53.99,56.72
Trader Joes,549873373.0,,42.79,,,43.19,42.99
Trader Joes,551067349.0,,,,,4.79,4.79
Trader Joes,554043945.0,,18.29,,21.49,18.49,19.42
Trader Joes,554693845.0,,,,,3.79,3.79
Trader Joes,554753210.0,,,,,35.09,35.09
Trader Joes,555173446.0,,,,,7.69,7.69
Trader Joes,555275616.0,,38.99,,45.79,,42.39
Trader Joes,555531366.0,,,,13.09,,13.09
Trader Joes,556223651.0,,32.59,,,32.89,32.74
Trader Joes,557031026.0,,,19.89,,19.29,19.59
Trader Joes,557394018.0,,,,,,
Trader Joes,557637639.0,,0.79,,0.99,0.79,0.86
Trader Joes,561425157.0,,,,,,
Trader Joes,564014969.0,,9.29,,,9.39,9.34
Trader Joes,564734116.0,,39.09,,,39.49,39.29
Trader Joes,565021540.0,,,18.19,,17.69,17.94
Trader Joes,565170341.0,,9.09,,10.69,9.19,9.66
Trader Joes,565229692.0,,46.39,33.89,,46.79,42.36
Trader Joes,568256903.0,,,,58.49,50.39,54.44
Trader Joes,568480217.0,,,,,19.79,19.79
Trader Joes,569684083.0,,21.09,,24.69,21.29,22.36
Trader Joes,571419391.0,,39.69,,46.49,40.09,42.09
Trader Joes,571896895.0,,,10.49,,10.19,10.34
Trader Joes,574010167.0,,,,,14.39,14.39
Trader Joes,574169049.0,,,14.49,16.29,13.99,14.92
Trader Joes,574404121.0,,,,,25.89,25.89
Trader Joes,574686428.0,,,,,35.49,35.49
Trader Joes,575714399.0,,12.49,,,12.69,12.59
Trader Joes,576244412.0,,,,,23.59,23.59
Trader Joes,576506037.0,,,41.09,,39.89,40.49
Trader Joes,579355486.0,,,9.49,10.69,9.19,9.79
Trader Joes,581030587.0,,12.29,12.79,14.39,12.39,12.96
Trader Joes,581614281.0,,,44.39,50.09,43.09,45.86
Trader Joes,582214622.0,,15.29,,,15.49,15.39
Trader Joes,582451335.0,,,,62.19,53.59,57.89
Trader Joes,583297806.0,,35.39,36.79,,35.69,35.96
Trader Joes,583333446.0,,,42.99,,41.69,42.34
Trader Joes,583382498.0,,,,,17.49,17.49
Trader Joes,583814806.0,,,,46.09,39.69,42.89
Trader Joes,584200676.0,,,,,39.89,39.89
Trader Joes,584598491.0,,55.99,58.29,,56.59,56.96
Trader Joes,585091176.0,,,19.19,21.69,18.69,19.86
Trader Joes,587031338.0,,,55.39,,53.79,54.59
Trader Joes,587816654.0,,,,,35.29,35.29
Trader Joes,588225773.0,,18.99,,,19.19,19.09
Trader Joes,591915659.0,,,,,53.99,53.99
Trader Joes,592298415.0,,,,,41.89,41.89
Trader Joes,592499340.0,,2.39,,,2.49,2.44
Trader Joes,594035260.0,,,57.79,,56.09,56.94
Trader Joes,594511101.0,,17.79,,,,17.79
Trader Joes,596626474.0,,35.19,,,35.59,35.39
Trader Joes,598589918.0,,,,,5.99,5.99
Trader Joes,599052834.0,,,,19.09,16.49,17.79
Trader Joes,599921977.0,,,,,32.29,32.29
Trader Joes,604272498.0,,,0.89,,0.79,0.84
Trader Joes,604540867.0,,,,,12.99,12.99
Trader Joes,606279907.0,,,,,43.19,43.19
Trader Joes,606513778.0,,,,,1.89,1.89
Trader Joes,607409332.0,,,39.49,,38.29,38.89
Trader Joes,612017146.0,,,,25.09,21.59,23.34
Trader Joes,612864775.0,,22.59,,,22.79,22.69
Trader Joes,614172105.0,,,,36.39,31.39,33.89
Trader Joes,614290704.0,,,37.09,,35.99,36.54
Trader Joes,614892418.0,,,,,56.49,56.49
Trader Joes,615121896.0,,,,,,
Trader Joes,615706094.0,,42.09,,,42.59,42.34
Trader Joes,616240709.0,,54.29,,,,54.29
Trader Joes,617543188.0,,,,,19.89,19.89
Trader Joes,620047925.0,,43.69,,,44.19,43.94
Trader Joes,622287285.0,,,,3.39,2.99,3.19
Trader Joes,625438627.0,,,,,56.19,56.19
Trader Joes,627416688.0,,22.99,23.99,,23.29,23.42
Trader Joes,627807402.0,,22.79,23.69,,22.99,23.16
Trader Joes,627831552.0,,,,58.19,50.09,54.14
Trader Joes,628622442.0,,9.19,9.59,,9.29,9.36
Trader Joes,629512894.0,,,54.49,,52.89,53.69
Trader Joes,631749882.0,,,,23.49,20.19,21.84
Trader Joes,633357974.0,,9.99,10.39,11.79,10.09,10.57
Trader Joes,634830299.0,,12.09,,,12.19,12.14
Trader Joes,635609352.0,,,16.09,18.09,15.59,16.59
Trader Joes,637471150.0,,47.49,49.49,,47.99,48.32
Trader Joes,637601085.0,,,,,32.89,32.89
Trader Joes,641131808.0,,,,29.79,25.69,27.74
Trader Joes,641206219.0,,,,23.09,19.89,21.49
Trader Joes,641701426.0,,38.09,39.69,44.69,38.49,40.24
Trader Joes,643048328.0,,40.09,,,40.49,40.29
Trader Joes,643110527.0,,10.69,,,,10.69
Trader Joes,643610475.0,,,,,13.39,13.39
Trader Joes,643629043.0,,6.09,,7.09,6.19,6.46
Trader Joes,643891644.0,,,,,38.39,38.39
Trader Joes,643896037.0,,,1.29,,1.29,1.29
Trader Joes,644054876.0,,,,31.39,27.09,29.24
Trader Joes,644874729.0,,28.99,30.19,,29.29,29.49
Trader Joes,645118810.0,,34.89,,40.89,35.19,36.99
Trader Joes,645331356.0,,,,,22.29,22.29
Trader Joes,646431619.0,,,,,,
Trader Joes,646726630.0,,,,,21.29,21.29
Trader Joes,647962512.0,,6.59,,7.69,,7.14
Trader Joes,649976289.0,,4.59,,,4.69,4.64
Trader Joes,650943158.0,,14.19,,16.59,14.29,15.02
Trader Joes,651936351.0,,2.89,,,2.89,2.89
Trader Joes,652377244.0,,,,,30.49,30.49
Trader Joes,653798822.0,,,,,28.19,28.19
Trader Joes,654081535.0,,,,30.49,26.29,28.39
Trader Joes,654483249.0,,,,29.39,25.29,27.34
Trader Joes,655347860.0,,50.19,,,50.69,50.44
Trader Joes,658435562.0,,,,39.39,33.89,36.64
Trader Joes,659422945.0,,4.89,,5.69,,5.29
Trader Joes,663501723.0,,,,15.19,13.09,14.14
Trader Joes,665091890.0,,5.09,5.29,,5.09,5.16
Trader Joes,667968672.0,,14.59,,,14.69,14.64
Trader Joes,672429356.0,,,,,7.29,7.29
Trader Joes,673299284.0,,9.29,9.59,,9.39,9.42
Trader Joes,674159443.0,,15.69,16.39,18.39,15.89,16.59
Trader Joes,675134953.0,,,,,,
Trader Joes,676268953.0,,,,66.39,57.19,61.79
Trader Joes,676274385.0,,,,46.39,39.99,43.19
Trader Joes,676939567.0,,36.59,37.99,,36.89,37.16
Trader Joes,677674656.0,,18.69,,21.89,18.89,19.82
Trader Joes,678530217.0,,37.39,,,37.79,37.59
Trader Joes,678539677.0,,,,,26.99,26.99
Trader Joes,678675568.0,,19.29,20.09,,19.49,19.62
Trader Joes,680584021.0,,19.29,19.99,,19.49,19.59
Trader Joes,681789308.0,,,,56.29,48.49,52.39
Trader Joes,683028909.0,,42.49,44.29,,42.99,43.26
Trader Joes,683810722.0,,,19.29,,18.79,19.04
Trader Joes,685061388.0,,46.99,,55.09,47.39,49.82
Trader Joes,685715810.0,,,26.09,,25.29,25.69
Trader Joes,687061455.0,,35.09,36.49,,35.39,35.66
Trader Joes,688174297.0,,43.49,45.19,50.99,43.89,45.89
Trader Joes,688858216.0,,,,20.09,,20.09
Trader Joes,690069404.0,,17.89,18.59,,18.09,18.19
Trader Joes,690308756.0,,,,48.29,41.59,44.94
Trader Joes,690392986.0,,,,,43.59,43.59
Trader Joes,690451660.0,,,21.79,,21.19,21.49
Trader Joes,692276824.0,,54.79,56.99,64.29,55.29,57.84
Trader Joes,694468735.0,,,,,1.59,1.59
Trader Joes,694669999.0,,21.49,,,21.69,21.59
Trader Joes,695599406.0,,,11.19,12.59,10.79,11.52
Trader Joes,696954302.0,,,,34.19,29.39,31.79
Trader Joes,697589645.0,,,,,26.79,26.79
Trader Joes,698510708.0,,,32.09,36.09,31.09,33.09
Trader Joes,698731992.0,,,47.39,,45.99,46.69
Trader Joes,698832542.0,,,,,19.29,19.29
Trader Joes,699701113.0,,,,3.29,2.89,3.09
Trader Joes,700041439.0,,,,25.79,22.19,23.99
Trader Joes,700311165.0,,39.69,,,40.09,39.89
Trader Joes,700660531.0,,37.39,,43.89,37.79,39.69
Trader Joes,701377201.0,,,3.49,3.89,3.39,3.59
Trader Joes,702065059.0,,,50.69,,49.19,49.94
Trader Joes,702239031.0,,10.19,,11.89,10.29,10.79
Trader Joes,702868026.0,,14.79,,,14.89,14.84
Trader Joes,704505214.0,,,28.79,,27.89,28.34
Trader Joes,708247357.0,,10.19,10.59,11.99,10.29,10.76
Trader Joes,708419030.0,,,,,11.79,11.79
Trader Joes,708930835.0,,,,,16.99,16.99
Trader Joes,709096794.0,,37.19,38.69,,,37.94
Trader Joes,711957058.0,,,21.79,24.59,21.09,22.49
Trader Joes,713032211.0,,,,,8.59,8.59
Trader Joes,714138116.0,,,,,,
Trader Joes,714264288.0,,,,17.49,14.99,16.24
Trader Joes,714768657.0,,,26.69,30.09,25.89,27.56
Trader Joes,715494692.0,,,,,57.39,57.39
Trader Joes,716383928.0,,,,32.79,,32.79
Trader Joes,723419379.0,,,42.89,,41.59,42.24
Trader Joes,723906184.0,,,,,18.19,18.19
Trader Joes,723934665.0,,45.39,,,45.89,45.64
Trader Joes,725772193.0,,,,,8.69,8.69
Trader Joes,726107443.0,,52.89,,,,52.89
Trader Joes,726593797.0,,,,19.49,,19.49
Trader Joes,727229928.0,,,28.19,31.69,27.29,29.06
Trader Joes,728311671.0,,21.29,,,21.59,21.44
Trader Joes,731963540.0,,,53.39,,51.89,52.64
Trader Joes,736014357.0,,9.89,10.29,,9.99,10.06
Trader Joes,736362595.0,,31.59,32.89,36.99,31.89,33.34
Trader Joes,737000536.0,,7.49,,8.79,7.59,7.96
Trader Joes,737234743.0,,49.09,,,49.59,49.34
Trader Joes,739054494.0,,,,,21.89,21.89
Trader Joes,739430945.0,,,,,57.19,57.19
Trader Joes,740153739.0,,,,,15.59,15.59
Trader Joes,740420827.0,,,,,8.89,8.89
Trader Joes,742030365.0,,,,55.09,47.39,51.24
Trader Joes,742726716.0,,40.09,,,40.49,40.29
Trader Joes,743414051.0,,,,,32.19,32.19
Trader Joes,744228999.0,,6.79,,,6.89,6.84
Trader Joes,744486125.0,,18.19,18.89,,18.29,18.46
Trader Joes,744789087.0,,3.19,,,3.19,3.19
Trader Joes,745216676.0,,,,,18.59,18.59
Trader Joes,745790660.0,,,,,,
Trader Joes,746596885.0,,,,,6.19,6.19
Trader Joes,746763504.0,,49.59,,,50.09,49.84
Trader Joes,748626363.0,,7.49,7.79,8.79,7.59,7.92
Trader Joes,749133422.0,,46.59,,,47.09,46.84
Trader Joes,749696942.0,,3.59,,,3.59,3.59
Trader Joes,750854309.0,,30.79,,36.19,31.19,32.72
Trader Joes,751783597.0,,55.59,,,56.19,55.89
Trader Joes,753436797.0,,,,50.49,43.49,46.99
Trader Joes,757501813.0,,,,42.59,36.69,39.64
Trader Joes,757630984.0,,,,,25.99,25.99
Trader Joes,758967619.0,,,,,38.09,38.09
Trader Joes,760445497.0,,7.59,,8.89,7.59,8.02
Trader Joes,762004012.0,,,,1.79,1.59,1.69
Trader Joes,762710881.0,,43.69,45.49,,44.19,44.46
Trader Joes,762977091.0,,,,15.39,13.29,14.34
Trader Joes,763083923.0,,14.29,,,14.39,14.34
Trader Joes,763210027.0,,,26.79,,,26.79
Trader Joes,764458897.0,,43.29,45.09,50.79,,46.39
Trader Joes,764530996.0,,,,,28.79,28.79
Trader Joes,765932940.0,,,51.89,,50.29,51.09
Trader Joes,765958220.0,,,,18.69,16.09,17.39
Trader Joes,766810433.0,,,,,17.59,17.59
Trader Joes,768303991.0,,,50.79,,49.29,50.04
Trader Joes,768547166.0,,,,,35.59,35.59
Trader Joes,768628469.0,,,,10.19,8.79,9.49
Trader Joes,768879663.0,,56.59,,66.39,,61.49
Trader Joes,768900012.0,,,,57.69,49.69,53.69
Trader Joes,769464973.0,,37.69,,44.19,37.99,39.96
Trader Joes,770347410.0,,1.59,,,,1.59
Trader Joes,771066892.0,,,32.69,,31.69,32.19
Trader Joes,773828271.0,,,,,54.49,54.49
Trader Joes,774342015.0,,34.69,,40.69,34.99,36.79
Trader Joes,774949377.0,,,,,25.49,25.49
Trader Joes,778006625.0,,,52.89,,51.39,52.14
Trader Joes,778682895.0,,,4.59,5.19,4.49,4.76
Trader Joes,780230660.0,,,,,46.29,46.29
Trader Joes,783399454.0,,,,34.79,29.99,32.39
Trader Joes,783845705.0,,,,,22.59,22.59
Trader Joes,783899410.0,,,41.89,47.29,40.69,43.29
Trader Joes,784408530.0,,,,2.49,2.19,2.34
Trader Joes,785234168.0,,31.69,32.99,37.19,31.99,33.47
Trader Joes,786293238.0,,5.59,,,5.59,5.59
Trader Joes,789649867.0,,,,54.29,46.79,50.54
Trader Joes,789986401.0,,13.99,14.49,16.39,14.09,14.74
Trader Joes,790024227.0,,14.19,14.79,16.59,14.29,14.96
Trader Joes,790066655.0,,,,4.89,,4.89
Trader Joes,790347148.0,,,43.29,48.79,41.99,44.69
Trader Joes,791901779.0,,43.99,,51.59,44.39,46.66
Trader Joes,793865483.0,,,17.69,,17.19,17.44
Trader Joes,794251522.0,,,,,35.99,35.99
Trader Joes,795655973.0,,,54.39,,52.79,53.59
Trader Joes,795937333.0,,,22.59,,21.89,22.24
Trader Joes,797375865.0,,54.39,,,54.99,54.69
Trader Joes,798625113.0,,,3.59,3.99,,3.79
Trader Joes,801329171.0,,,51.39,,49.89,50.64
Trader Joes,802480036.0,,51.39,,,51.99,51.69
Trader Joes,804094528.0,,,41.69,46.99,40.49,43.06
Trader Joes,805082512.0,,15.29,,17.99,15.49,16.26
Trader Joes,808274867.0,,37.79,39.29,,38.19,38.42
Trader Joes,808976577.0,,,,30.29,26.09,28.19
Trader Joes,810777505.0,,27.09,28.19,,27.39,27.56
Trader Joes,812183948.0,,28.59,,,28.89,28.74
Trader Joes,812264326.0,,28.29,,,28.59,28.44
Trader Joes,812817987.0,,21.49,22.29,,21.69,21.82
Trader Joes,813117592.0,,,44.49,,43.19,43.84
Trader Joes,817162115.0,,,,20.99,18.09,19.54
Trader Joes,817674221.0,,,46.39,52.29,44.99,47.89
Trader Joes,818139689.0,,,,62.49,,62.49
Trader Joes,819121025.0,,19.29,,22.59,19.49,20.46
Trader Joes,820540489.0,,,51.69,,50.19,50.94
Trader Joes,821096485.0,,,8.89,10.09,8.69,9.22
Trader Joes,821504223.0,,,,,43.29,43.29
Trader Joes,822316142.0,,,4.09,4.59,3.99,4.22
Trader Joes,825958722.0,,8.99,,,9.09,9.04
Trader Joes,826114350.0,,,20.19,,19.59,19.89
Trader Joes,826771870.0,,,,16.39,14.19,15.29
Trader Joes,826777526.0,,46.79,,,47.19,46.99
Trader Joes,827210689.0,,,,,6.89,6.89
Trader Joes,827352822.0,,,,,,
Trader Joes,827531126.0,,37.49,38.99,,37.89,38.12
Trader Joes,827631041.0,,,40.39,,39.19,39.79
Trader Joes,827898456.0,,,,,36.19,36.19
Trader Joes,827980895.0,,,,,52.49,52.49
Trader Joes,829968022.0,,31.69,,37.09,31.99,33.59
Trader Joes,830115263.0,,42.59,44.39,,,43.49
Trader Joes,831054514.0,,32.99,,38.69,33.39,35.02
Trader Joes,831639757.0,,40.09,41.69,,,40.89
Trader Joes,832037986.0,,,,,7.29,7.29
Trader Joes,832713642.0,,,,,27.09,27.09
Trader Joes,835193761.0,,,,65.19,56.19,60.69
Trader Joes,835966795.0,,,,12.89,11.09,11.99
Trader Joes,836742374.0,,41.29,,,41.69,41.49
Trader Joes,836817411.0,,,24.29,,23.59,23.94
Trader Joes,838460068.0,,56.19,58.49,65.89,56.79,59.34
Trader Joes,838729004.0,,,,,6.69,6.69
Trader Joes,839680734.0,,,,33.89,29.19,31.54
Trader Joes,840138489.0,,,,,25.79,25.79
Trader Joes,841392681.0,,53.39,,,53.89,53.64
Trader Joes,842306029.0,,,,43.69,,43.69
Trader Joes,842621232.0,,40.89,,47.89,,44.39
Trader Joes,842968031.0,,,,37.79,32.59,35.19
Trader Joes,843645850.0,,26.89,,,27.19,27.04
Trader Joes,845328666.0,,,35.09,,34.09,34.59
Trader Joes,845893087.0,,48.59,,,48.99,48.79
Trader Joes,846637828.0,,,5.09,5.79,4.99,5.29
Trader Joes,848007798.0,,,,,17.59,17.59
Trader Joes,848280790.0,,,,40.89,35.19,38.04
Trader Joes,849299370.0,,,10.99,,10.59,10.79
Trader Joes,849425547.0,,,,57.49,49.49,53.49
Trader Joes,849702242.0,,,,,41.49,41.49
Trader Joes,850719150.0,,7.79,,9.09,7.89,8.26
Trader Joes,850860889.0,,,,,16.99,16.99
Trader Joes,852479948.0,,18.09,,21.19,18.19,19.16
Trader Joes,853687097.0,,,40.49,45.69,39.29,41.82
Trader Joes,854689154.0,,49.29,51.39,57.89,49.79,52.09
Trader Joes,854985252.0,,,38.49,43.39,,40.94
Trader Joes,855000437.0,,20.29,21.09,,20.49,20.62
Trader Joes,856365324.0,,37.29,,43.69,37.69,39.56
Trader Joes,856554674.0,,,23.49,,,23.49
Trader Joes,857067649.0,,52.19,54.29,,52.69,53.06
Trader Joes,857721983.0,,,,,26.09,26.09
Trader Joes,859607186.0,,,,27.39,23.59,25.49
Trader Joes,860167579.0,,33.69,,39.59,34.09,35.79
Trader Joes,861024387.0,,4.99,,5.89,,5.44
Trader Joes,861871758.0,,,52.19,,50.59,51.39
Trader Joes,864093895.0,,,,,2.89,2.89
Trader Joes,864128161.0,,4.19,4.29,4.89,4.19,4.39
Trader Joes,864892235.0,,,,44.89,38.59,41.74
Trader Joes,865020811.0,,40.99,,,41.39,41.19
Trader Joes,866416138.0,,38.79,40.39,,39.19,39.46
Trader Joes,866698043.0,,,,6.69,5.79,6.24
Trader Joes,870309366.0,,,40.89,,39.69,40.29
Trader Joes,870595943.0,,,,50.79,43.69,47.24
